timestamp,open,high,low,close,volume,turnover,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2023-10-14 18:30:00,26865.6,26873.9,26855.0,26858.5,954.205,25631830.0,522.248,14028755.0
2023-10-14 19:00:00,26858.5,26867.0,26843.8,26859.2,1391.39,37363930.0,600.124,16116210.0
2023-10-14 19:30:00,26859.1,26866.5,26835.1,26851.5,1378.619,37014840.0,637.193,17108346.0
2023-10-14 20:00:00,26851.5,26852.1,26800.0,26817.0,2445.953,65612364.0,824.092,22108228.0
2023-10-14 20:30:00,26816.9,26834.9,26808.0,26831.8,1175.206,31523578.0,668.759,17938940.0
2023-10-14 21:00:00,26831.9,26869.6,26773.1,26794.8,3214.033,86203256.0,1345.834,36104240.0
2023-10-14 21:30:00,26794.8,26831.3,26791.8,26806.5,1650.876,44261856.0,975.869,26162814.0
2023-10-14 22:00:00,26806.5,26824.6,26806.4,26815.2,1107.607,29701508.0,608.559,16318660.0
2023-10-14 22:30:00,26815.2,26843.9,26814.4,26832.7,914.649,24539320.0,531.851,14269000.0
2023-10-14 23:00:00,26832.7,26855.9,26832.6,26847.1,1061.165,28490418.0,540.882,14521274.0
2023-10-14 23:30:00,26847.2,26850.0,26836.3,26836.3,562.629,15103642.0,226.577,6082446.0
2023-10-15 00:00:00,26836.4,26842.5,26819.5,26821.3,1048.274,28125266.0,354.615,9514508.0
2023-10-15 00:30:00,26821.2,26837.4,26801.0,26835.0,1413.503,37903940.0,748.445,20070664.0
2023-10-15 01:00:00,26835.0,26847.0,26831.6,26847.0,838.048,22493618.0,581.064,15596113.0
2023-10-15 01:30:00,26846.9,26896.3,26846.9,26876.5,2824.605,75918344.0,1546.724,41568936.0
2023-10-15 02:00:00,26876.6,26891.0,26856.5,26866.4,1289.975,34663160.0,557.93,14992790.0
2023-10-15 02:30:00,26866.3,26875.0,26862.6,26870.5,690.969,18566130.0,340.854,9158704.0
2023-10-15 03:00:00,26870.5,26891.1,26862.6,26882.9,1512.564,40656644.0,1027.149,27609314.0
2023-10-15 03:30:00,26882.8,26894.2,26861.4,26871.4,1108.584,29794554.0,579.451,15573461.0
2023-10-15 04:00:00,26871.4,26879.7,26866.4,26870.5,833.808,22406786.0,429.597,11544520.0
2023-10-15 04:30:00,26870.5,26876.6,26858.8,26873.1,988.525,26557862.0,515.06,13837660.0
2023-10-15 05:00:00,26873.2,26875.0,26866.7,26873.8,387.609,10415386.0,231.047,6208523.0
2023-10-15 05:30:00,26873.8,26874.6,26868.3,26868.3,349.316,9386696.0,157.08,4221036.5
2023-10-15 06:00:00,26868.4,26868.4,26860.0,26864.1,510.397,13711703.0,213.186,5727157.0
2023-10-15 06:30:00,26864.1,26868.5,26860.8,26868.5,402.91,10824095.0,230.573,6194393.0
2023-10-15 07:00:00,26868.5,26871.0,26858.7,26864.9,542.107,14563850.0,295.137,7929017.5
2023-10-15 07:30:00,26864.9,26872.7,26863.3,26872.7,437.976,11767201.0,264.987,7119460.5
2023-10-15 08:00:00,26872.7,26890.0,26868.5,26883.1,1216.228,32691790.0,681.979,18331326.0
2023-10-15 08:30:00,26883.0,26899.9,26883.0,26895.0,1295.792,34848144.0,765.441,20585296.0
2023-10-15 09:00:00,26894.9,26909.6,26886.2,26886.2,1580.052,42504004.0,698.035,18778194.0
2023-10-15 09:30:00,26886.3,26891.8,26883.0,26890.4,672.058,18069818.0,302.896,8144125.5
2023-10-15 10:00:00,26890.4,26890.4,26883.2,26883.3,399.676,10745220.0,117.285,3153163.2
2023-10-15 10:30:00,26883.3,26888.4,26878.1,26880.9,704.634,18943966.0,327.45,8803638.0
2023-10-15 11:00:00,26880.8,26880.9,26830.1,26856.5,3000.067,80550790.0,1202.578,32286632.0
2023-10-15 11:30:00,26856.5,26859.5,26840.1,26840.4,862.223,23149638.0,382.497,10269534.0
