iteration,date,direction,entry_price,exit_price,stop_loss,position_size,pnl,balance,signal,exit_reason,is_partial,entry_rsi_14,exit_rsi_14,entry_macd_histogram,exit_macd_histogram,ensemble_score,market_phase,trend_strength,duration_hours
1,2024-08-19 09:30:00,short,58430.17,57990.82,58977.5,0.09062,35.3,10035.3,StrongSell,QuickProfit,False,54.26,57.73,0.0,0.0,0.54,ranging,0.34,3.5
1,2024-08-19 23:00:00,short,59030.94,59308.88,59286.91,0.170001,-55.85,9979.45,StrongSell,StopLoss,False,50.94,49.12,0.0,0.0,0.53,ranging,0.69,2.0
1,2024-08-20 00:30:00,short,59381.22,59681.44,59659.59,0.168057,-59.01,9920.44,StrongSell,StopLoss,False,46.31,57.19,0.0,0.0,0.47,ranging,0.5,0.5
1,2024-08-20 11:30:00,short,60911.28,60509.18,61181.07,0.162867,57.03,9977.47,StrongSell,QuickProfitTaken,False,53.61,36.73,0.0,0.0,0.52,ranging,0.52,4.5
1,2024-08-20 14:00:00,short,60666.12,60009.5,60892.22,0.164465,99.5,10076.98,StrongSell,ProfitTarget,False,50.0,31.04,0.0,0.0,0.45,ranging,0.44,1.5
1,2024-08-20 15:30:00,short,59421.86,58797.64,59691.65,0.169584,97.28,10174.26,StrongSell,ProfitTarget,False,38.65,64.02,0.0,0.0,0.61,strong_downtrend,0.73,0.5
1,2024-08-20 23:30:00,short,59237.8,58996.97,59947.15,0.171753,32.68,10206.94,StrongSell,ProfitTarget,False,49.33,44.15,0.0,0.0,0.59,ranging,0.75,1.5
1,2024-08-21 08:00:00,short,59139.77,59440.96,59804.48,0.17259,-60.73,10146.21,StrongSell,StagnantExit,False,40.92,63.75,0.0,0.0,0.6,ranging,0.74,7.5
1,2024-08-21 18:00:00,short,59469.07,60147.61,60125.38,0.170613,-124.49,10021.71,StrongSell,StopLoss,False,65.98,69.73,0.0,0.0,0.58,ranging,0.87,2.0
1,2024-08-22 01:00:00,short,60975.91,60904.96,62002.65,0.076219,1.43,10023.15,StrongSell,StagnantExit,False,56.39,38.72,0.0,0.0,0.53,ranging,0.73,5.5
1,2024-08-22 03:00:00,short,60629.25,60352.28,61388.33,0.161953,36.48,10059.63,StrongSell,ProfitTarget,False,34.46,38.61,0.0,0.0,0.53,ranging,0.31,0.5
1,2024-08-22 10:30:00,short,60497.17,61121.51,61098.72,0.166283,-112.46,9947.16,StrongSell,StopLoss,False,36.97,53.57,0.0,0.0,0.53,ranging,0.36,6.5
1,2024-08-22 12:30:00,short,61221.36,60865.3,61699.74,0.099808,30.33,9977.49,StrongSell,ProfitTarget,False,50.61,34.88,0.0,0.0,0.42,ranging,0.27,1.0
1,2024-08-22 14:30:00,short,60738.86,60490.05,61244.8,0.075728,14.91,9992.4,StrongSell,ProfitTarget,False,33.14,39.72,0.0,0.0,0.42,ranging,0.28,1.0
1,2024-08-22 21:00:00,short,60413.07,60546.26,60925.8,0.088032,-16.28,9976.13,StrongSell,StagnantExit,False,45.41,79.01,0.0,0.0,0.44,ranging,0.4,5.5
1,2024-08-23 09:30:00,short,60676.9,61010.07,61763.65,0.073438,-28.29,9947.84,StrongSell,StagnantExit,False,61.73,64.91,0.0,0.0,0.57,volatile,0.98,8.5
1,2024-08-23 14:00:00,long,61037.56,61764.06,60348.42,0.055431,37.36,9985.2,StrongBuy,ProfitTarget,False,67.21,46.56,0.0,0.0,0.51,ranging,0.82,3.0
